Interest_Code,Job_Zone,Code,Occupation,Featured
ECR,1,39-3091.00,Amusement and Recreation Attendants,Y
ECR,1,35-3023.01,Baristas,Y
EC,1,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Y
RE,1,47-2051.00,Cement Masons and Concrete Finishers,Y
RIE,1,45-3031.00,Fishing and Hunting Workers,Y
ER,2,53-1041.00,Aircraft Cargo Handling Supervisors,Y
ECR,2,35-3011.00,Bartenders,Y
ESC,2,43-4051.00,Customer Service Representatives,Y
ECR,2,41-9011.00,Demonstrators and Product Promoters,Y
ERS,2,13-1074.00,Farm Labor Contractors,Y
ECR,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,Y
ECR,2,39-1013.00,First-Line Supervisors of Gambling Services Workers,Y
ERC,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Y
ECR,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,Y
ECR,2,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Y
ECS,2,41-1011.00,First-Line Supervisors of Retail Sales Workers,Y
ESC,2,53-2031.00,Flight Attendants,Y
ECR,2,11-9051.00,Food Service Managers,Y
ES,2,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Y
ECR,2,41-2022.00,Parts Salespersons,Y
ECS,2,11-9131.00,Postmasters and Mail Superintendents,
ERC,2,53-4031.00,Railroad Conductors and Yardmasters,
EC,2,53-1042.01,Recycling Coordinators,Y
EC,2,33-9099.02,Retail Loss Prevention Specialists,Y
EC,2,41-2031.00,Retail Salespersons,Y
EC,2,41-9041.00,Telemarketers,
EC,2,39-7012.00,Travel Guides,Y
RE,2,35-2014.00,"Cooks, Restaurant",Y
RES,2,39-5092.00,Manicurists and Pedicurists,Y
EC,3,11-3012.00,Administrative Services Managers,Y
EC,3,53-2021.00,Air Traffic Controllers,
ECR,3,53-2022.00,Airfield Operations Specialists,Y
ERA,3,35-1011.00,Chefs and Head Cooks,Y
ECS,3,13-1041.00,Compliance Officers,Y
EC,3,13-1041.08,Customs Brokers,Y
EIC,3,33-3021.00,Detectives and Criminal Investigators,
ERC,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Y
ECR,3,33-1011.00,First-Line Supervisors of Correctional Officers,
ERC,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",
ERS,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,Y
ERC,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Y
ECR,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Y
ECS,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Y
ECS,3,39-1022.00,First-Line Supervisors of Personal Service Workers,Y
ESC,3,33-1012.00,First-Line Supervisors of Police and Detectives,Y
ERC,3,51-1011.00,First-Line Supervisors of Production and Operating Workers,
ECS,3,11-9171.00,Funeral Home Managers,
EC,3,11-9071.00,Gambling Managers,Y
EC,3,11-3051.02,Geothermal Production Managers,
EC,3,11-3051.06,Hydroelectric Production Managers,
ESC,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",
ECR,3,29-2081.00,"Opticians, Dispensing",Y
ERS,3,33-3051.00,Police and Sheriff's Patrol Officers,YP
EC,3,33-9021.00,Private Detectives and Investigators,Y
EC,3,41-9022.00,Real Estate Sales Agents,
ESR,3,39-5094.00,Skincare Specialists,Y
ER,3,47-1011.03,Solar Energy Installation Managers,Y
ECR,3,41-4011.07,Solar Sales Representatives and Assessors,Y
ECS,3,11-9179.02,Spa Managers,
EC,3,41-3041.00,Travel Agents,
EC,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",
ECR,3,11-9199.09,Wind Energy Operations Managers,
EAC,4,11-2011.00,Advertising and Promotions Managers,
ECA,4,41-3011.00,Advertising Sales Agents,
ES,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Y
ECR,4,13-2023.00,Appraisers and Assessors of Real Estate,
ECR,4,11-3051.03,Biofuels Production Managers,
EI,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,
ECR,4,11-3051.04,Biomass Power Plant Managers,
EIC,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,
EIC,4,13-1199.04,Business Continuity Planners,
ECR,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products",
EIC,4,11-9121.01,Clinical Research Coordinators,Y
ECS,4,11-3111.00,Compensation and Benefits Managers,
ECI,4,11-3021.00,Computer and Information Systems Managers,Y
ERC,4,11-9021.00,Construction Managers,Y
ESC,4,13-2071.00,Credit Counselors,
ESC,4,21-2021.00,"Directors, Religious Activities and Education",
ERC,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",
EC,4,13-2061.00,Financial Examiners,
ECS,4,11-3031.00,Financial Managers,Y
ECS,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,
ES,4,11-9179.01,Fitness and Wellness Coordinators,
EIC,4,13-2099.04,"Fraud Examiners, Investigators and Analysts",Y
ECA,4,13-1131.00,Fundraisers,Y
ECS,4,11-1021.00,General and Operations Managers,Y
ESC,4,11-3121.00,Human Resources Managers,Y
ECS,4,13-1071.00,Human Resources Specialists,
EC,4,11-3051.00,Industrial Production Managers,
EC,4,15-1299.09,Information Technology Project Managers,Y
ECS,4,41-3021.00,Insurance Sales Agents,Y
ECS,4,13-1075.00,Labor Relations Specialists,
ES,4,11-1031.00,Legislators,
ECS,4,11-9081.00,Lodging Managers,
EC,4,13-1081.00,Logisticians,
EC,4,11-9199.08,Loss Prevention Managers,
EC,4,11-2021.00,Marketing Managers,Y
ECA,4,27-2012.03,Media Programming Directors,Y
ERC,4,27-2012.05,Media Technical Directors/Managers,
ECS,4,11-9111.00,Medical and Health Services Managers,Y
ECS,4,13-1121.00,"Meeting, Convention, and Event Planners",
ECR,4,13-1199.06,Online Merchants,Y
ECS,4,13-2052.00,Personal Financial Advisors,
EAS,4,27-2012.00,Producers and Directors,Y
EC,4,11-9141.00,"Property, Real Estate, and Community Association Managers",
